date,感染者,疑似者,死亡,治愈,累积密切接触
2020-01-10,41,0,1,2,739
2020-01-11,41,0,1,6,763
2020-01-12,41,0,1,7,763
2020-01-13,41,0,1,7,763
2020-01-14,41,0,1,7,763
2020-01-15,41,0,2,12,763
2020-01-16,45,0,2,15,763
2020-01-17,62,0,2,19,763
2020-01-18,121,0,3,24,763
2020-01-19,198,0,3,25,817
2020-01-20,291,27,3,25,1739
2020-01-21,440,37,9,25,2197
2020-01-22,571,393,17,25,5897
2020-01-23,830,1072,25,34,9507
2020-01-24,1287,1965,41,38,15197
2020-01-25,1975,2684,56,49,23431
2020-01-26,2744,5794,80,51,32799
2020-01-27,4515,6973,106,60,47833
2020-01-28,5974,9239,132,103,65537
2020-01-29,7711,12167,170,124,88693
2020-01-30,9692,15238,213,171,113579
2020-01-31,11791,17988,259,243,136987
2020-02-01,14380,19544,304,328,163844
2020-02-02,17205,21558,361,475,189583
2020-02-03,20438,23214,425,632,221015
2020-02-04,24324,23260,490,892,252154
2020-02-05,28018,24702,563,1153,282813
2020-02-06,31161,26359,636,1540,314028
2020-02-07,34546,27657,722,2050,345498
2020-02-08,37198,28942,811,2649,371905
2020-02-09,40171,23589,908,3281,399487
2020-02-10,42638,21675,1016,3996,428438
2020-02-11,44653,16067,1113,4740,451462
2020-02-12,59804,13435,1367,5911,471531
2020-02-13,63851,10109,1380,6723,49306
2020-02-14,66492,8969,1523,8096,513183
2020-02-15,68500,8228,1665,9419,529418
2020-02-16,70548,7264,1770,10844,546016
2020-02-17,72436,6242,1868,12552,560901
2020-02-18,74185,5248,2004,14376,574418
2020-02-19,75002,4922,2118,16157,589163
2020-02-20,75891,5206,2236,18266,606037
2020-02-21,76288,5365,2345,20659,618915
2020-02-22,76936,4148,2442,22888,628517
2020-02-23,77150,3434,2592,24734,635531
2020-02-24,77658,2824,2663,27323,641742
2020-02-25,78064,2491,2715,29745,647406
2020-02-26,78497,2358,2744,32495,652174
2020-02-27,78824,2308,2788,36117,656054
2020-02-28,79251,1418,2835,39002,658587
2020-02-29,79824,851,2870,41625,660716
2020-03-01,80026,715,2912,44462,663240
2020-03-02,80151,587,2943,47204,664899
2020-03-03,80270,520,2981,49856,666397
2020-03-04,80409,522,3012,52045,669025
2020-03-05,80552,482,3042,53726,670854
2020-03-06,80651,502,3070,55404,672458
2020-03-07,80695,458,3097,57065,674038
2020-03-08,80735,421,3119,58600,674760
2020-03-09,80754,349,3136,59897,675338
2020-03-10,80778,285,3158,61475,675886
2020-03-11,80793,253,3169,62793,677243
